pdb_id	Hchain	Lchain	antigen_chain
8khc	H	J	A
8khd	H	J	C
8sga	H	L	B
8sgn	H	L	G
8sic	A	B	E
8sic	H	L	G
8y6h	C	B	A
8y6i	C	B	A
9ayf	H	h	A | B | G
8oni	H	L	B | I
8oni	C	D	F | A
8iz4	E	e	A | B
8omz	B		A
8omz	D		C
8onk	H	L	B
8onk	C	E	A
8onk	G	F	I
8onk	K	J	D
8oo1	B		A
8oo1	D		C
8uiw	A	B	R
8uiw	H	L	N
8uky	H	L	C
8uky	B	A	D
8uta	A	B	R
8uta	H	L	N
8v52	D	C	B
8v52	F	E	A
8v7o	H	L	A
8v7o	I	M	B
8v7o	J	N	C
8xof	N		A | B
8xog	E	e	A | B
8xoh	E	e	A | B
8xoi	E	e	A | B
8xoj	E	e	A | B
8j6i	H	h	A | B
8j6l	H	h	A | B
8oi2	B		A
8p6i	H	L	A
8p6i	h	l	a
8pij	B		A
8piz	B		A
8pjp	C		A
8pnu	J		G
8pnu	K		H
8pnu	L		I
8pnu	D		A
8pnu	E		B
8pnu	F		C
8pnv	D		A
8pnv	E		B
8pnv	F		C
8pnv	J		G
8pnv	K		H
8pnv	L		I
8qzr	H	L	C
8qzr	A	B	E
8rmo	H	L	F
8vrs	C	c	B
8vrs	D	d	A
8vy7	D	d	A | B
8vy9	D	d	A | C | B
8x2k	E	e	B | C
8xgr	N		G | B
8tq7	F	G	C
8tq7	H	L	A
8tq8	H	L	A
8tq8	F	G	C
8tq9	H	L	B | A
8tqa	H	L	A
8rqf	H	L	B | A
8tnt	E	D	A | B
8tnt	G	F	C
8iu2	S	s	A | B
8j6f	H	L	I | B
8jtw	B		A
8jtx	B		A
8jty	B		A
8og0	H	L	P
8r4o	B	b	A
8r4o	D	d	C
8r4o	F	f	E
8r4o	H	h	G
8r4o	J	j	I
8r4o	L	l	K
8r4q	B	b	A
8r4q	D	d	C
8r4q	F	f	E
8r4q	H	h	G
8r4q	J	j	I
8r4q	L	l	K
8r4u	B	b	A
8r4u	D	d	C
8r4u	F	f	E
8r4u	H	h	G
8tnn	H	G	C
8tnn	J	I	F
8too	B	A	I
8too	D	C	J
8too	H	E	L
8too	G	F	K
8u1c	H	L	A
8u1q	H	L	A
8u1s	J	K	D
8u1s	G	I	C
8u1s	E	F	B
8u1s	H	L	A
8vye	B	C	K
8vye	A	D	K
8vye	H	L	K
8vye	F	G	E
8vye	I	J	E
8vye	M	N	E
8vye	P	Q	O
8vye	R	S	O
8vye	T	U	O
8vyf	B	C	A
8vyf	H	L	A
8vyg	A	B	R
8w0v	H	L	C
8w0w	H	L	C
8w0x	H	L	C
8w0y	A	B	D
8w0y	H	L	C
8g0i	D		A
8gkl	H	L	E
8iow	H	L	I
8jxt	E	e	B | C
8jxv	E	e	B | C
8jxw	E	e	B | C
8jxx	E	e	B | C
8sxp	H	L	C
8tbq	H	L	P
8tbq	A	B	Q
8wu1	H	L	C | R
8xzf	S	s	A | B
8xzh	S	s	A | B
8xzi	S	s	A | B
8xzj	S	s	A | B
8gdr	C	D	F
8gdr	H	J	E | A
8oz3	A	B	C
8oz3	H	L	D
8evd	A		C
8evd	B		D
8evd	E		G
8evd	F		H
8evd	I		K
8evd	J		L
8f6u	B		D
8f6u	A		C
8f6v	A		C
8f6v	B		D
8jyq	A	B	C
8jyq	D	E	F
8jyr	H	L	A
8qf4	E		A
8qf5	G		H
8qf5	A		B
8r1c	H	L	A
8r1c	D	E	B
8r1c	F	G	C
8r1d	F	G	B
8r1d	D	E	C
8r1d	H	L	A
8sdf	H	L	Z
8sdf	B	C	A
8sdg	G	I	C
8sdg	A	B	D
8siq	H	L	A
8siq	M	N	A
8sir	H	L	A
8sis	H	L	A
8sit	H	L	A
8sit	M	N	B
8sit	O	P	C
8sit	Q	S	D
8u4q	H	L	R
8u4r	H	L	R
8u4s	H	L	R
8u4s	B	A	C
8u4s	F	E	G
8u4t	H	L	R
8u4t	G	F	I
8u4t	P	O	Q
8u4t	Z	Y	A
8iy9	H	h	A | B
8iyh	H	h	B | A
8iyw	H	h	B | C
8jer	H	h	A | B
8jhn	H	h	A | B
8pok	E		B | C
8pyr	D		A
8pyr	H		E
8smk	B	C	A
8smk	E	F	D
8sml	C	B	A
8sml	F	E	D
8w9j	H	L	C
8w9j	B	A	D
8wa3	N		A | B
8wg7	N		A | B
8wg8	N		A | B
8x79	N		A | B
8x7a	N		A | B
8xe9	A	B	C
8cma	H	L	E
8gag	S	s	A | C | B
8gat	M	N	A
8gau	H	L	A
8gau	M	N	A
8gav	H	L	A
8idi	A		D
8idi	C		B
8idm	B		D
8idm	A		D
8ido	C		A
8ido	D		B
8iee	D		A
8iee	C		B
8ifn	A		B
8ifn	D		C
8ifn	F		E
8jbf	E	e	C | D
8jel	C	D	J
8jel	A	B	E
8jel	F	G	H
8jel	I	K	L
8jen	A	B	I
8jen	C	D	J
8jen	E	F	M
8jen	G	H	P
8jeo	B	C	A
8jeo	E	F	D
8jt6	E	e	A | B
8ozb	A		F
8ozb	C		E
8t60	B		A
8wrz	H	L	A | V
8xej	H	L	B | X
8xjk	E	e	A | B
8xjl	E	e	A | B
8xjm	E	e	A | B
8xjn	E	e	A | B
8xjo	E	e	A | B
8chs	D		A
8cii	H	L	E
8cii	A	B	E
8cii	C		E
8cin	E	F	B
8cin	H	L	A
8cin	J	K	C
8ekd	E	F	G
8g5a	H	L	A
8g5a	I	M	B
8g5a	J	N	C
8g5b	H	L	A
8g5b	I	M	A
8g5b	J	N	A
8g70	E		A
8g70	H		B
8g70	I		D
8g70	G		B
8g70	F		D
8g70	K		A
8g70	N		D
8g70	O		A
8g70	M		B
8g76	E		A
8g76	H		B
8g76	I		D
8g77	G		B
8g77	F		D
8g77	K		A
8g78	J		A
8g78	F		D
8g78	G		B
8g78	H		B
8g78	I		D
8g78	E		A
8g79	N		D
8g79	O		A
8g79	M		B
8g7a	E		A
8g7a	C		B
8g7a	F		D
8g7b	E		A
8g7b	C		B
8g7c	E		A
8g7c	G		D
8g7c	F		B
8oq3	C		A
8oq3	F		D
8pwh	B	A	E
8pwh	D	C	E
8smv	N		A | B
8ssz	G	F	C
8ssz	I	H	B | A
8ssz	K	J	E | D
8st0	G	F	C
8st0	I	H	B | A
8st0	K	J	E | D
8st1	G	F	C | B
8st1	K	J	E | D
8st2	G	F	C | B
8st2	K	J	E | D
8st3	G	F	C
8st3	I	H	B | A
8st3	K	J	E | D
8st4	G	F	C
8st4	I	H	B | A
8st4	K	J	E | D
8cbd	H	L	R
8cbd	E	F	R
8cbd	G	I	Y
8cbd	J	K	X
8cbd	A	B	X
8cbd	C	D	Y
8cbe	H	L	E
8cbe	A	B	E
8cbf	A	B	E
8cbf	H	L	E
8cd0	C		A
8ds7	H	L	M
8g2m	H	L	F
8i7v	E	e	B | C
8i7w	E	e	B | C
8iec	N	n	C | D
8ied	N	n	C | D
8jbg	E	e	C | D
8jbh	E	e	C | D
8k8j	N		A | B
8kfx	S	s	A | B | C
8kfy	S	s	A | B
8kfz	S	s	A | B
8odx	H	L	A
8sip	H	L	H
8sxi	C	D	A
8sxi	G	H	E
8sxi	K	L	I
8sxj	C	D	A
8sxj	G	H	E
8sxj	K	L	I
8uf7	B	A	C
8ww2	N		A | B
8i5l	D	d	A
8i5l	E	e	B | C
7yoy	E	I	C
7yoy	F	J	C
7yp1	D	G	B | A
7yp2	H	L	A
8c7m	C	D	B
8c7m	H	L	A
8hp9	H	L	A
8hp9	M	N	A
8hp9	P	Q	B
8hp9	E	F	B
8hp9	I	J	C
8hp9	K	O	C
8hpq	H	L	A
8hpq	M	N	A
8hpq	P	Q	B
8hpq	E	F	B
8hpq	I	J	C
8hpq	R	S	C
8hpv	M	N	A
8hpv	H	L	A
8hpv	P	Q	B
8hpv	E	F	B
8hpv	I	J	C
8hpv	R	S	C
8i4h	B		A
8ipc	H	L	A
8iq4	N		A | B
8iq6	N		A | B
8qpr	E	D	A
8qq0	E	D	A
8rcq	B		A
8the	H	L	A
8bw0	H	L	C
8g72	A		B
8g73	E		B
8g73	C		B
8g73	F		D
8g74	E		A
8g74	C		B
8g75	E		A
8g75	G		D
8g75	F		B
8j20	B	b	C | A
8j21	B	b	C | A
8j22	F	f	B | A
8j24	G	g	C | B
8jlw	H	L	A
8jlx	H	L	A
8jnk	I	M	A
8jnk	J	N	E
8jnk	K	O	G
8jnk	L	P	C
8jnr	G	K	A
8jnr	H	L	D
8jnr	I	M	E
8jnr	J	N	C
8k3k	D		E
8t3q	N	n	A | B | G
8t3s	N	n	A | B
8t3v	N	n	A | B
8tw3	A		F
8tw3	B		F
8tw3	Y		X
8tw3	Z		X
8wej	H	L	B
8x2l	H	L	B
8xc4	C	D	B
8xc4	E	F	A
8acf	H	L	A
8aci	H	L	A
8fhy	H	L	I
8fhy	C	B	A
8fhy	F	E	D
8fi9	G	F	C
8fi9	H	L	A
8fi9	J	I	O
8fi9	Q	N	K
8g8n	A	B	C
8g8n	D	E	F
8g8n	G	I	J
8g8n	H	L	P
8g8n	K	M	Z
8g8n	O	Q	R
8hrx	H	L	B | A
8hry	H	L	B | A
8j9n	N		C | D
8j9o	B	D	A
8jh7	H	L	D
8jhb	N		A | B | C
8jhc	H	L	R
8jhi	N		A | B | C
8qy9	H	L	A
8qya	H	L	A
8qyb	H	L	A
8t3o	N	n	A | B
8thn	A	B	C
8tm1	H	L	A | B
8tma	H	L	A
8wdt	C	B	A
8t5c	H	L	a
8t5c	E	I	b
8t5c	D		A | C | B
8c3k	B		A
8c89	H	L	C
8gd9	N		A | B
8gda	N		A | B
8gdb	N		A | B
8j6j	H	h	A | B
8jgb	S	s	A | B | G
8jgf	E	e	A | B
8jgg	S	s	A | B | G
8jjv	A		B
8jly	A		B
8t29	A	B	R
8t2a	A	B	R
8t2b	A	B	R
8t2o	A	B	R
8uhb	N		C | A | B
8coe	B		C
8gcm	E	e	A | B
8gcp	E	e	A | B
8hbi	E		A
8hxq	A		C
8hxq	B		D
8hxr	B		D
8hxr	A		C
8ij3	S	s	C | B
8ija	S	s	C | B
8ijb	S	s	C | B
8ijd	S	s	C | B
8kae	H	L	R
8kae	N		R
8kfa	H	L	A
8kfa	D	F	B
8kfa	E	G	C
8u1d	I	J	A
8w8q	N		A | B
8w8r	S	s	A | B
8cn9	B	A	D | C
8cn9	G	F	I | H
8cn9	L	K	N | M
8cn9	Q	P	S | R
8go9	B	C	F | H
8go9	D	E	A | G
8j8r	D	E	A | G
8j8r	H	L	B | U
8j8r	M	N	C | V
8j8v	B	C	F | H
8j8v	D	E	A | G
8j8z	H	L	A | V
8j8z	I	M	B | U
8ja3	I	M	B | U
8ja3	H	L	A | V
8wc6	S	s	A
8wc6	N		A | B
7y3n	H	L	A
7y3n	C	D	B
7y3n	F	G	E
7y3o	H	L	A
8b7h	H	L	A
8che	H	L	C
8che	A	B	D
8hj1	N		A | B
8i4f	C		A
8i4g	C		A
8j97	H	L	A | V
8j9k	D	B	C
8jaf	H	L	A | V
8k5g	H	L	A
8k5h	H	L	B | A
8qot	H	L	A
8qot	B		A
8wc3	S	s	A | B
8wc4	S	s	A | B
8wc5	S	s	A | B
8wc7	S	s	A | B
8wc8	S	s	A | B
8wc9	S	s	A | B
8wca	S	s	C | B
8wcb	S	s	A | B
8xbh	S	s	A | B
8fif	A		D
8fif	B		F
8fif	C		G
8fja	E	D	A | C
8fjb	E	D	A | C
8g4p	C	D	E
8g4p	A	B	E
8hn1	D		A
8hn8	S	s	A | B
8hoc	S	s	A | B
8hpf	H	L	A
8hpf	M	N	A
8hpu	H	L	A
8hpu	M	N	A
8hq7	M	N	A
8hq7	H	L	A
8hrd	O	P	A
8hrd	D	F	A
8hrd	C	E	B
8hrd	G	H	B
8hrd	L	M	K
8hrd	N	Q	K
8hrd	W	X	T
8hrd	Y	Z	T
8hti	N		A | B
8q7s	B		A
8q7s	C		A
8q7s	E		D
8q7s	F		D
8q7s	H		G
8q7s	I		G
8q7s	K		J
8q7s	L		J
8q7s	N		M
8q7s	O		M
8q93	B		A
8q93	C		A
8q94	B		A
8q94	C		A
8q95	B		A
8q95	C		A
8tlm	A	B	C
8u1u	E	e	B | C
7ycy	D	E	C
7ycy	F	G	A
7ycy	H	I	B
7ycz	D	E	C
7ycz	F	G	A
7ycz	H	I	B
7yd0	D	E	A
7yd0	F	G	C
8d4r	D	E	B
8d4r	H	L	G
8d50	D	E	B
8d50	H	L	G
8f2j	A	B	C
8f2j	D	F	G
8f2j	H	L	E
8f2j	I	J	K
8f38	D	G	B
8f38	E	H	A
8f38	F	I	C
8fah	H	L	A
8k45	D		B
8k45	E		A
8k46	E		A
8k46	G		B
8k46	I		C
8k47	I		C
8r8d	E	I	B
8r8d	H	L	A
8smi	H	L	A
8sos	D		A
8sos	G		E
8ek5	E	e	A | C
8feg	F	f	C | D
8hws	H	L	A
8hws	D	E	A
8hws	I	J	A
8hwt	H	L	A
8hwt	D	E	A
8ia7	E	e	A | B
8j6p	S	s	A | B
8j6q	S	s	A | B
8j6r	S	s	A | B
8tui	H	L	A
8ucd	H	L	C | A | B
8bk2	H	L	A
8bk2	D	E	B
8bk2	F	G	C
8cr9	A	B	C
8crb	A	B	C
8hnk	S	s	A | B
8hnl	S	s	A | B
8hnm	S	s	A | B
8hnn	N		R
8j1t	H	K	F
8j1v	H	K	A
8j1v	C	D	B
8j1v	F	G	E
8j5j	E		A
8k2w	N		R
8k2x	S	s	A | B
8pvb	O		A
8skj	A		E
8skj	B		C
8skj	D		F
8skj	G		H
8t9z	H	L	A
8trs	A	G	D
8trt	A	G	E
8trt	B	C	D
8w87	N		A | B
8w88	N		A | B
8w89	N		A | B
8w8a	N		A | B
8w8b	E	e	A | B
8wpu	E	e	G | C
8x0t	H	L	A
8u26	N		A | B
8u2c	D	C	B
8u2c	F	E	A
8udg	H	L	A
8udg	M	N	B | C
8f4p	D		B | A
8heg	D		C | B
8ix3	H	L	G
8jlj	S	s	A | B
8jlk	S	s	A | B
8jln	S	s	A | B | Y
8jlq	S	s	A | B | Y
8jlr	S	s	A | B
8jso	S	s	A | B
8jsp	E	e	A | B | G
8wsq	A	B	F
8tfn	H	L	B
8w83	A	B	D | C
8w83	E	F	H | G
8w83	I	J	L | K
8w83	M	N	P | O
8w85	A	B	C | D
8w85	E	F	G | H
8w86	A	B	C | D
8w86	E	F	G | H
7zox	B		A
7zox	C		A
8bg1	A	B	C
8bg1	D	E	F
8bg1	G	H	I
8bg1	J	K	L
8bg2	A	a	B
8bg2	C	c	D
8bg3	A	a	B
8bg3	C	c	D
8bg4	A	a	B
8bg4	C	c	D
8bg5	A	a	B
8bg5	C	c	D
8bg6	A	B	E
8bg8	H	L	A
8ez3	H	L	A
8ez7	H	L	A
8ez8	H	L	A
8g6u	C	D	B
8g6u	M	N	A
8g6u	G	H	F
8g6u	O	P	E
8g6u	K	L	J
8g6u	Q	R	I
8hes	H	L	C
8jis	N		A | B
8opr	B		A
8opr	C		A
8ttw	C	D	B
8ttw	G	H	F
8ttw	K	L	J
8ttw	M	N	A
8ttw	O	P	E
8ttw	Q	R	I
8w84	A	B	D | C
8wrb	E	e	A | B
8be5	C		A | R
8be5	N		A
8evg	M	m	G | H
8evg	N	n	C | D
8evh	M	m	G | H
8evh	N	n	C | D
8evi	M	m	G | H
8evi	N	n	C | D
8evj	M	m	G | H | F
8evj	N	n	C | D | B
8syp	M	m	G | H
8syp	N	n	C | D
8be2	N		S
8bec	A	a	B
8bec	C	c	D
8eyg	E		C
8eyg	F		B
8eyh	D		A
8f7z	E	F	L
8f7z	A	B	I
8f7z	C	D	K
8f7z	G	H	M
8f95	H	L	P
8f95	A	B	C
8f9e	H	L	P
8f9e	A	B	C
8f9f	H	L	P
8f9f	A	B	C
8f9s	H	L	P
8f9s	A	B	C
8f9t	A	B	C
8f9t	H	L	P
8f9u	A	B	P
8f9v	A	B	M
8f9v	C	D	N
8f9v	E	F	O
8f9v	G	H	P
8f9w	A	B	O
8f9w	C	D	P
8f9w	E	F	Q
8f9w	G	H	R
8fa6	H	L	P
8fa6	A	B	Q
8fa7	H	L	P
8fa8	H	L	P
8fa9	H	L	P
8fan	A	B	P
8fan	C	D	Q
8fan	E	F	R
8fas	A	B	C
8fat	A	B	E
8fat	C	D	F
8fb5	A	B	O
8fb5	C	D	I
8fb5	E	F	J
8fb5	G	H	K
8fb6	A	B	P
8fb7	A	B	Q
8fb7	H	L	P
8fb8	H	L	P
8fba	A	B	P
8fba	C	D	Q
8fdc	A	B	P
8fdd	A	B	P
8g05	E	e	A | G | B
8h91	C		A
8h91	D		B
8hbg	E		C
8hbj	E		C
8hbj	F		A
8izb	N		A | C | B
8pq2	H	L	C
8sg1	E	e	A | B
7yfc	C	c	A
7yfc	N		A | B
8u4v	H	L	A | B
7yfd	C	c	A
7yfd	N		A | B
7uqc	B	A	C
7uqc	E	D	F
8b9v	H	L	A
8cdd	E	D	B
8cde	D	C	B
8h7i	A		A
8h7i	B		B
8h7m	A		A
8h7m	B		B
8h7n	A		A
8h7r	A		A
8h8q	H	L	A
8hgl	H	L	A
8hgl	C	D	B
8hgl	F	G	E
8hgm	C	D	B
8jtd	J	N	A | D | C
8jtm	J	N	A | D | C
8k4n	E	e	A | B
8ci2	F		A
8ci2	G		B | C
8ci2	I		D | E
8tpa	H	L	A | B
8tpa	D	E	C | F
8tpa	I	J	G | K
8hpt	H	h	B | C
8hqc	H	h	B | C
8eln	C		A
8eln	D		B
8eln	G		E
8eln	H		F
8eln	K		I
8eln	L		J
8et0	C		A
8et0	D		B
8g2o	H	L	L
8gje	H	L	A
8gje	G	J	C
8gje	I	K	D
8h5t	B		A
8h5u	B		A
8h5u	D		C
8i95	H	h	A | B
8i97	H	h	A | B
8i9a	H	h	A | B
8i9l	H	h	A | B
8i9s	H	h	A | B
8ia2	H	h	B | C
8itl	N		A | B
8itm	N		A | B
8j6d	H	h	A | B
8jzz	H	h	C | B
8kh5	E		B | C
8oxv	B	C	A
8oxw	B	C	A
8oxx	B	C	A
8oxy	B	C	A
8pnl	B		A
8pnl	D		C
8c9x	F		A
8c9x	G		B
8c9x	H		C
8c9x	I		D
8c9x	J		E
8cau	F		A
8cau	G		B
8cau	H		C
8cau	I		D
8cau	J		E
8ce4	F		A
8ce4	G		B
8ce4	H		C
8ce4	I		D
8ce4	J		E
8ci1	F		A
8ci1	G		B
8ci1	H		C
8ci1	I		D
8ci1	J		E
8eqf	H	L	A
8f5i	H	L	B
8f5i	X	Y	A
8fdo	A	B	C
8fym	H	L	P
8fym	B	A	C
8fym	E	D	F
8fym	I	G	J
8fz2	H	L	P
8grr	H	L	2
8gsp	H	L	3 | 2
8h2g	E	e	B | C
8hqe	H	h	A | B
8hqm	H	h	A | B
8hqn	H	h	A | B
8hvi	H	h	B | C
8kgk	E		B | C
8kh4	E		B | C
8sgj	H	L	A
8sgt	H	L	A
8t7h	C		A
8t7h	D		B
8t8m	C		B
8t8m	D		A
8tao	C		B
8tao	D		A
8tp2	H	L	C
8tp3	H	L	C
8tp4	H	L	C
8tp5	E	F	C
8tp5	H	L	A
8tp5	J	K	G
8tp6	H	L	A
8tp6	C	D	B
8tp6	F	G	E
8tp7	D	F	A
8tp7	E	G	B
8tp7	H	L	C
8tp9	D	F	B
8tp9	E	G	C
8tp9	H	L	A
6x05	K		A
7ukl	X	Y	C
7ukl	H	L	A
7ukl	M	N	B
7ukm	X	Y	B
7ukm	H	L	A
7ukm	M	N	C
8b50	H	L	H
8fxb	H	L	E
8fxc	H	L	E
8g0w	C		A
8g0w	D		B
8g0w	G		E
8g0w	H		F
8gy5	A	B	Q
8gy5	H	L	P
8h63	B		A
8h64	B		A
8h64	D		C
8h64	F		E
8h64	H		G
8hlb	B	C	A
8hlb	D	E	A
8i3s	H	L	A
8i3u	H	L	A
8jz7	S	s	D | B
8s9g	H	L	E
8sai	S	s	D | E
8sak	H	L	B | C
8tb0	F	f	R | B
8euu	G	H	B | A
8euu	I	J	D | C
8euu	K	L	F | E
8euv	G	H	B | A
8euv	I	J	D | C
8euv	K	L	F | E
8euw	G	H	B | A
8euw	I	J	D | C
8euw	K	L	F | E
7zau	B		A
7zau	D		C
7zau	F		E
7zau	H		G
8bso	H	L	L
8bso	C	D	D
8cml	A		B
8cml	C		B
8cni	A		B
8cni	C		B
8eli	H	L	A
8gye	E	F	A
8pg0	H	L	A
8phw	H	L	A
8t03	C	D	A
8t03	E	F	B
8t04	C	D	A
8t04	E	F	B
8t05	C	D	A | B
8t06	C	D	A
8t06	E	F	B
8t07	C	D	A
8t07	E	F	B
8u5b	H	L	A | B
8edf	H	L	A
8foi	H	L	A
8foi	J	K	C
8g4n	H	L	A
8g4n	J	K	C
8g4o	H	L	A
8g4o	J	K	C
8g4x	H	L	A
8g5f	J	K	C
8g5g	H	L	A
8g5h	J	K	C
8ioc	N		A | B
8iod	N		A | B
8j7t	E	C	A
8j7t	F	D	B
8j7u	E	C	A
8j7u	F	D	B
8j7v	E	C	A
8j7v	F	D	B
8j7w	E	C	A
8j7w	F	D	B
8j7x	E	C	A
8j7x	F	D	B
8j7y	E	C	A
8j7y	F	D	B
8j80	E	C	A
8j80	F	D	B
8q6j	B	A	E
8q6j	D	C	E
8szy	A	B	T
8szy	H	L	T
8szy	C	D	U
8szy	I	M	U
8caf	B	A	H | F
8caf	D	C	E | G
7xy3	D		A
7xy4	D		A
7xy4	E		C
7y0n	C	L	B
7y0n	E	J	A
7y0n	F	K	D
7y0n	G		A
7y0n	H		B
7y0n	I		D
8ee2	C		A
8ee2	D		B
8ee2	G		E
8ee2	H		F
8ee2	K		I
8ee2	L		J
8f0i	C	D	A
8f0i	E	F	B
8f0i	H	I	G
8fx5	H	h	A | B
8ihb	S	s	A | B
8jiq	N		A | B
8jiu	N		A | B
8t7a	D	E	a
8t7a	F	G	b
8t7a	H	I	c
8ty1	C	B	A
6b3m	C	D	B | A
6b3m	I	J	H | K
6b3m	M	N	F | E
6b3m	O	P	L | G
6b3m	V	W	T | S
6b3m	Y	U	R | Q
6e0c	M	m	C | D | B | A
6e0c	N	n	G | H | E
6dzt	M	m	G | F | H
6dzt	N	n	C | D | B
5fuu	H	L	D | C
5fuu	M	N	F | B | E
6qxe	M		E | F
6qxe	O		A | B
7k78	K	k	C | D | B
7k78	L	l	G | F | H
5js9	A	B	C
5js9	E	F	C | D
6e0p	M	m	C | D | B | A
6e0p	N	n	G | F | H | E
4kv5	J	j	B
4kv5	H	h	A
4kv5	E	e	C
4kv5	G	g	D
8ee8	H	L	Z | A
8ee8	D	C	B
7y0o	H	L	A
7y0o	B		A
7yub	N		R
7yud	H	L	R
7yud	N		R
7yuf	H	L	R
7yuf	N		R
7z1x	B		A
7z1x	C		A
7z1x	E		D
7z1x	F		D
8awm	H	L	A
8fgx	B	A	C
8gsb	H	K	A
8j7e	A	B	F
8j7e	C	D	E
8jhy	S	s	D | B
8jii	S	s	D | B
8jil	S	s	D | B
8jim	S	s	D | B
8jip	N		A | B
8jir	N		A | B
8jit	N		A | B
8so3	H	L	D
8so3	Y	Z	X
8sr0	Y	Z	X
8sr0	H	L	D
8eh5	H	L	G
8eh5	M	N	G
8eh5	O	P	G
8gpy	C	D	B
8gpy	E	F	A
7yi6	D	B	A
7yi6	F	E	C
8ee5	H	L	Z
8eed	H	L	A
8eed	M	N	D
8eed	E	F	B
8eed	I	J	C
8eee	H	L	E
8eee	A	B	Z
8fcz	C		A
8fcz	D		B
8fd0	C		A
8fd0	D		B
8fd1	C		A
8fd1	D		B
8gh4	H	L	E
8gho	A	B	C
8gho	H	L	G
8ghp	H	L	A
8gnh	H	L	B
8gq1	H	L	C
8h7l	D	G	B
8h7l	E	H	C
8h7l	F	I	A
8h7z	F	I	A
8hrh	A	B	D
8ihf	S	s	A | B
8ihh	S	s	A | B
8ihi	S	s	A | B
8ihj	S	s	A | B
8p7w	D	G	B
8p7w	F	E	A
8p7w	C		A
8p7w	Y		B
8p8a	D	C	B
8p8a	F	E	A
8p8a	Z		A
8p8j	F	E	A
8p8j	D	C	B
8p8j	Z		A
8sgo	J	I	B
8sgo	K	L	D
8si9	J	I	B
8si9	K	L	D
8sid	J	I	B
8sid	K	L	D
8apy	C		A
8gf2	C	D	A
8gf2	H	L	A
8gf2	E	F	B
8gf2	X	Y	B
8gpi	A	C	Z | T
8gpi	D	E	X | R
8gpi	H	L	Y | S
8gpj	A	C	Z | W
8gpj	D	E	X | V
8gpj	H	L	Y | U
8tco	E	D	B | A
8tco	F	G	C
8tea	H	G	C
8tea	F	I	C | D
8ahl	E		D
8ahl	F		C | H | A
8ahl	K		J
8ahl	L		I | G
8aia	D		B | K
8aia	J		N
8aia	C		A
8aia	I		M
8aix	D		B | K
8aix	J		N
8aix	C		A
8aix	I		M
8aix	P		F | U
8aix	T		X
8aix	O		E
8aix	S		W
8ajb	E		D
8ajb	F		C | H | A
8ajb	K		J
8ajb	L		I | G
8ajb	Q		P
8ajb	R		O | M | T
8ajb	W		V
8ajb	X		U | S
7t9t	C	D	A
7t9t	G	H	E
7t9t	K	L	I
7yix	C	c	A
7yix	D	d	B
7yrn	D	E	A
7yrn	F	G	B
7yrn	H	I	C
8a95	R	O	A
8a95	S	P	B
8a95	T	Q	C
8afe	D		B
8afe	C		A
8afe	I		G
8afe	J		H
8afh	D		B
8afh	C		A
8afh	I		G
8afh	J		H
8afh	N		L
8afh	M		K
8afh	S		Q
8afh	T		R
8afl	D		B
8afl	C		A
8afm	D		B
8afm	C		A
8afm	J		H
8afm	I		G
8dzw	H	L	C
8dzw	I	M	A
8dzw	J	N	B
8e2u	H	L	A
8eay	H	L	A
8ebp	H	L	A
8ebp	I	M	B
8ezk	H	h	A
8ezk	I	i	B
8ezl	H	h	A
8ezm	H	h	A
8hr2	B		A
8hr2	C		A
8iv4	H	L	G
8iv4	A	B	G
8iv5	H	L	G
8iv5	A	B	G
8iv8	H	L	G
8iv8	C	D	G
8iva	C	E	G
8iva	H	L	G
8iy5	E	e	A | B
8sh5	H	L	R
8sk5	B		A
8tfp	B	A	B
8tfp	H	L	H
8tfq	B	A	B
8tfq	H	L	H
8thk	F	f	A | B
8thl	F	f	A | B
7yk4	H	L	A
7yk4	I	M	B
8axh	H	h	A
8b17	B		A
8b18	B		A
8b19	B		A
8b1a	B		A
8b1b	B		A
8b1c	B		A
8b1d	B		A
8b1e	B		A
8b1f	B		A
8b1g	B		A
8b1h	B		A
8b1i	B		A
8b1j	B		A
8b1k	B		A
8e6j	H	L	A
8e6j	E	I	B
8e6j	F	J	C
8e6j	G	K	D
8e6k	H	L	A
8e6k	E	I	B
8e6k	F	J	C
8e6k	G	K	D
8gp5	E	F	X
8gpg	A	B	Z
8gpg	C	D	Y
8gpg	E	F	X
8h0p	E	e	A | B
8h0q	E	e	A | B
8pm2	N		A | B
8h3c	B	b	F | G
8h3c	D	d	F
7tcn	C	D	A
7tcn	G	H	E
7tcn	K	L	I
7tco	C	D	A
7tco	G	H	E
7tco	O	P	M
7trh	H	B	G
7tri	Z	Y	B
7y71	O	P	A | C
7y72	O	P	A | C
7yiz	B	A	B
7yiz	D	C	D
8aon	B	C	A
8c5h	N		S
8dpz	F	G	B
8dtk	C	B	A
8dyt	H	L	I
8dyt	A	B	I
8dyt	C	D	I
8dyt	E	F	I
8dyt	M	N	J
8dyt	O	P	J
8dyt	Q	R	J
8dyt	S	T	J
8dyw	H	L	I
8dyw	A	B	I
8dyw	C	D	I
8dyw	E	F	I
8dyw	M	N	I
8dyw	O	P	I
8dyw	Q	R	I
8dyw	S	T	I
8dyw	U	V	I
8dyw	W	X	I
8dyx	H	L	I
8dyx	A	B	I
8dyx	C	D	I
8dyx	E	F	I
8dyx	M	N	I
8dyx	O	P	I
8dyx	Q	R	I
8dyx	S	T	I
